Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,69,4,4 Visits,4,£50-£100,4 Visits,Male,33
Responder,77,7,5 Or More Visits,1,Under £50,1 Visit,Female,34
Responder,123,7,5 Or More Visits,1,Under £50,1 Visit,Male,34
Responder,81,4,4 Visits,4,Under £50,4 Visits,Male,35
Responder,103,7,5 Or More Visits,1,Under £50,1 Visit,Female,36
Responder,89,5,5 Or More Visits,3,Under £50,3 Visits,Male,36
Responder,93,7,5 Or More Visits,1,Under £50,1 Visit,Male,36
Non-responder,65,8,5 Or More Visits,0,Under £50,No Visits,Female,37
Responder,81,5,5 Or More Visits,3,Under £50,3 Visits,Male,37
Non-responder,62,8,5 Or More Visits,0,Under £50,No Visits,Male,37
Responder,86,5,5 Or More Visits,3,Under £50,3 Visits,Female,38
Responder,86,1,1 Visit,7,£100-£150,5 Or More Visits,Male,38
Responder,124,7,5 Or More Visits,1,Under £50,1 Visit,Male,39
Non-responder,92,8,5 Or More Visits,0,Under £50,No Visits,Male,40
Responder,61,7,5 Or More Visits,1,Under £50,1 Visit,Female,41
Responder,71,5,5 Or More Visits,3,Under £50,3 Visits,Male,41
Non-responder,174,8,5 Or More Visits,0,Under £50,No Visits,Male,41
Non-responder,76,8,5 Or More Visits,0,Under £50,No Visits,Female,42
Responder,84,7,5 Or More Visits,1,Under £50,1 Visit,Male,42
Responder,86,5,5 Or More Visits,3,Under £50,3 Visits,Male,42
Non-responder,76,8,5 Or More Visits,0,Under £50,No Visits,Male,42
Responder,62,6,5 Or More Visits,2,Under £50,2 Visits,Female,43
Responder,81,6,5 Or More Visits,2,Under £50,2 Visits,Male,44
Responder,190,7,5 Or More Visits,1,Under £50,1 Visit,Male,44
Non-responder,102,8,5 Or More Visits,0,Under £50,No Visits,Male,44
Non-responder,51,8,5 Or More Visits,0,Under £50,No Visits,Female,45
Responder,71,7,5 Or More Visits,1,Under £50,1 Visit,Male,45
Non-responder,94,8,5 Or More Visits,0,Under £50,No Visits,Male,45
Non-responder,62,8,5 Or More Visits,0,Under £50,No Visits,Female,46
Non-responder,57,8,5 Or More Visits,0,Under £50,No Visits,Female,47
Responder,83,7,5 Or More Visits,1,Under £50,1 Visit,Male,47
Responder,84,7,5 Or More Visits,1,Under £50,1 Visit,Male,47
Non-responder,86,8,5 Or More Visits,0,Under £50,No Visits,Male,47
Responder,93,6,5 Or More Visits,2,Under £50,2 Visits,Male,48
Responder,66,7,5 Or More Visits,1,Under £50,1 Visit,Male,48
Responder,82,6,5 Or More Visits,2,£100-£150,2 Visits,Male,48
Responder,102,7,5 Or More Visits,1,Under £50,1 Visit,Male,48
