Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Non-responder,79,3,3 Visits,0,Under £50,No Visits,Male,44
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,44
Non-responder,78,3,3 Visits,0,Under £50,No Visits,Male,44
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Female,45
Non-responder,82,3,3 Visits,0,Under £50,No Visits,Female,45
Responder,59,2,2 Visits,1,Under £50,1 Visit,Male,45
Non-responder,58,3,3 Visits,0,Under £50,No Visits,Male,45
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,45
Non-responder,94,3,3 Visits,0,Under £50,No Visits,Male,45
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,45
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,46
Non-responder,86,3,3 Visits,0,Under £50,No Visits,Male,46
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,46
Responder,17,2,2 Visits,1,Under £50,1 Visit,Female,47
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Female,47
Non-responder,120,3,3 Visits,0,Under £50,No Visits,Male,47
Non-responder,40,3,3 Visits,0,Under £50,No Visits,Male,47
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Female,48
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Female,48
Responder,78,1,1 Visit,2,Under £50,2 Visits,Male,48
Non-responder,57,3,3 Visits,0,Under £50,No Visits,Male,48
Non-responder,61,3,3 Visits,0,Under £50,No Visits,Male,48
Non-responder,22,3,3 Visits,0,Under £50,No Visits,Male,48
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Male,48
Non-responder,62,3,3 Visits,0,Under £50,No Visits,Male,48
Responder,68,2,2 Visits,1,Under £50,1 Visit,Female,49
Responder,70,2,2 Visits,1,Under £50,1 Visit,Female,49
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Female,49
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Female,49
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Male,49
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,49
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,49
Non-responder,111,3,3 Visits,0,Under £50,No Visits,Male,49
Non-responder,91,3,3 Visits,0,Under £50,No Visits,Male,49
Non-responder,63,3,3 Visits,0,Under £50,No Visits,Female,50
Non-responder,98,3,3 Visits,0,Under £50,No Visits,Female,50
Non-responder,46,3,3 Visits,0,Under £50,No Visits,Female,50
Non-responder,85,3,3 Visits,0,Under £50,No Visits,Female,50
Responder,59,1,1 Visit,2,Under £50,2 Visits,Male,50
Responder,71,2,2 Visits,1,Under £50,1 Visit,Male,50
Non-responder,80,3,3 Visits,0,Under £50,No Visits,Male,50
Responder,55,1,1 Visit,2,£100-£150,2 Visits,Female,51
Non-responder,59,3,3 Visits,0,Under £50,No Visits,Female,51
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Female,51
Non-responder,64,3,3 Visits,0,Under £50,No Visits,Female,51
Responder,99,2,2 Visits,1,Under £50,1 Visit,Male,51
Non-responder,65,3,3 Visits,0,Under £50,No Visits,Male,51
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Male,51
Responder,57,2,2 Visits,1,£50-£100,1 Visit,Female,52
Non-responder,93,3,3 Visits,0,Under £50,No Visits,Female,52
Responder,68,2,2 Visits,1,Under £50,1 Visit,Male,52
Non-responder,52,3,3 Visits,0,Under £50,No Visits,Male,52
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Male,52
Non-responder,63,3,3 Visits,0,Under £50,No Visits,Male,52
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,54
Non-responder,80,3,3 Visits,0,Under £50,No Visits,Male,54
Non-responder,84,3,3 Visits,0,Under £50,No Visits,Male,54
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Male,54
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Female,55
Non-responder,82,3,3 Visits,0,Under £50,No Visits,Male,55
Non-responder,67,3,3 Visits,0,Under £50,No Visits,Male,55
Non-responder,71,3,3 Visits,0,Under £50,No Visits,Male,55
Non-responder,55,3,3 Visits,0,Under £50,No Visits,Female,56
Non-responder,76,3,3 Visits,0,Under £50,No Visits,Female,56
Responder,68,2,2 Visits,1,Under £50,1 Visit,Male,56
Non-responder,76,3,3 Visits,0,Under £50,No Visits,Male,56
Non-responder,71,3,3 Visits,0,Under £50,No Visits,Male,56
Non-responder,69,3,3 Visits,0,Under £50,No Visits,Male,56
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Male,56
Non-responder,111,3,3 Visits,0,Under £50,No Visits,Female,57
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Female,57
Responder,80,1,1 Visit,2,£50-£100,2 Visits,Male,57
Non-responder,82,3,3 Visits,0,Under £50,No Visits,Male,57
Non-responder,90,3,3 Visits,0,Under £50,No Visits,Female,58
Non-responder,64,3,3 Visits,0,Under £50,No Visits,Female,58
Non-responder,77,3,3 Visits,0,Under £50,No Visits,Male,58
Non-responder,58,3,3 Visits,0,Under £50,No Visits,Male,58
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,58
Non-responder,84,3,3 Visits,0,Under £50,No Visits,Male,58
Responder,61,2,2 Visits,1,Under £50,1 Visit,Female,59
Non-responder,84,3,3 Visits,0,Under £50,No Visits,Female,59
Non-responder,89,3,3 Visits,0,Under £50,No Visits,Male,59
Non-responder,72,3,3 Visits,0,Under £50,No Visits,Female,60
Responder,107,2,2 Visits,1,Under £50,1 Visit,Male,60
Non-responder,72,3,3 Visits,0,Under £50,No Visits,Female,62
Responder,80,2,2 Visits,1,£50-£100,1 Visit,Male,62
Non-responder,75,3,3 Visits,0,Under £50,No Visits,Male,62
Non-responder,83,3,3 Visits,0,Under £50,No Visits,Female,63
Responder,84,2,2 Visits,1,£50-£100,1 Visit,Male,63
Responder,73,2,2 Visits,1,Under £50,1 Visit,Male,63
Non-responder,64,3,3 Visits,0,Under £50,No Visits,Male,63
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Male,63
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Male,63
Non-responder,66,3,3 Visits,0,Under £50,No Visits,Female,64
Responder,23,2,2 Visits,1,Under £50,1 Visit,Male,64
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Male,64
Non-responder,86,3,3 Visits,0,Under £50,No Visits,Male,64
Non-responder,51,3,3 Visits,0,Under £50,No Visits,Male,64
Non-responder,67,3,3 Visits,0,Under £50,No Visits,Male,64
Non-responder,54,3,3 Visits,0,Under £50,No Visits,Female,66
Non-responder,50,3,3 Visits,0,Under £50,No Visits,Female,67
Non-responder,81,3,3 Visits,0,Under £50,No Visits,Male,67
Responder,99,2,2 Visits,1,Under £50,1 Visit,Male,68
Responder,65,2,2 Visits,1,Under £50,1 Visit,Male,68
Non-responder,4,3,3 Visits,0,Under £50,No Visits,Male,68
Responder,0,2,2 Visits,1,Under £50,1 Visit,Male,69
Non-responder,61,3,3 Visits,0,Under £50,No Visits,Male,70
Responder,60,2,2 Visits,1,Under £50,1 Visit,Male,71
Non-responder,53,3,3 Visits,0,Under £50,No Visits,Male,71
Non-responder,97,3,3 Visits,0,Under £50,No Visits,Male,72
Non-responder,87,3,3 Visits,0,Under £50,No Visits,Male,72
Responder,52,2,2 Visits,1,Under £50,1 Visit,Male,74
Non-responder,44,3,3 Visits,0,Under £50,No Visits,Male,74
Non-responder,60,3,3 Visits,0,Under £50,No Visits,Female,75
Non-responder,56,3,3 Visits,0,Under £50,No Visits,Male,76
Responder,93,2,2 Visits,1,Under £50,1 Visit,Male,77
Responder,65,2,2 Visits,1,Under £50,1 Visit,Male,82
Responder,56,2,2 Visits,1,Under £50,1 Visit,Male,83
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Female,19
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Female,22
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Male,22
Non-responder,63,2,2 Visits,0,Under £50,No Visits,Male,22
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Male,22
Non-responder,82,2,2 Visits,0,Under £50,No Visits,Female,23
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Female,23
Non-responder,99,2,2 Visits,0,Under £50,No Visits,Male,23
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Female,24
Non-responder,91,2,2 Visits,0,Under £50,No Visits,Female,24
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Female,24
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Female,24
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Male,24
Non-responder,66,2,2 Visits,0,Under £50,No Visits,Male,24
Responder,98,1,1 Visit,1,£50-£100,1 Visit,Female,25
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Female,25
Non-responder,71,2,2 Visits,0,Under £50,No Visits,Female,25
Non-responder,58,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,62,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,111,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Male,25
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,76,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,63,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,79,2,2 Visits,0,Under £50,No Visits,Female,26
Non-responder,86,2,2 Visits,0,Under £50,No Visits,Male,26
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Male,26
Non-responder,97,2,2 Visits,0,Under £50,No Visits,Male,26
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Male,26
Non-responder,90,2,2 Visits,0,Under £50,No Visits,Female,27
Non-responder,79,2,2 Visits,0,Under £50,No Visits,Female,27
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Female,27
Non-responder,71,2,2 Visits,0,Under £50,No Visits,Female,27
Responder,84,1,1 Visit,1,Under £50,1 Visit,Male,27
Responder,74,1,1 Visit,1,Under £50,1 Visit,Male,27
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,96,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Male,27
Non-responder,23,2,2 Visits,0,Under £50,No Visits,Male,28
Non-responder,87,2,2 Visits,0,Under £50,No Visits,Male,28
Non-responder,111,2,2 Visits,0,Under £50,No Visits,Male,28
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,28
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Male,28
Non-responder,71,2,2 Visits,0,Under £50,No Visits,Male,28
Responder,85,1,1 Visit,1,Under £50,1 Visit,Female,29
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,32,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,71,2,2 Visits,0,Under £50,No Visits,Female,29
Non-responder,97,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,65,2,2 Visits,0,Under £50,No Visits,Male,29
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Male,29
Responder,6,1,1 Visit,1,Under £50,1 Visit,Female,30
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Female,30
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Female,30
Non-responder,81,2,2 Visits,0,Under £50,No Visits,Female,30
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Female,30
Responder,50,1,1 Visit,1,Under £50,1 Visit,Male,30
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Male,30
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,30
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,30
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,30
Non-responder,79,2,2 Visits,0,Under £50,No Visits,Male,30
Non-responder,63,2,2 Visits,0,Under £50,No Visits,Female,31
Non-responder,70,2,2 Visits,0,Under £50,No Visits,Female,31
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Female,31
Non-responder,58,2,2 Visits,0,Under £50,No Visits,Female,31
Responder,56,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,87,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,71,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,99,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,80,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,96,1,1 Visit,1,Under £50,1 Visit,Male,31
Responder,55,1,1 Visit,1,Under £50,1 Visit,Male,31
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Male,31
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,31
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,31
Non-responder,50,2,2 Visits,0,Under £50,No Visits,Female,32
Non-responder,91,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,89,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,37,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,82,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,70,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,10,2,2 Visits,0,Under £50,No Visits,Male,32
Non-responder,75,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,70,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,89,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,33
Non-responder,91,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,113,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,95,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,36,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,76,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,33
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Female,34
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Female,34
Non-responder,81,2,2 Visits,0,Under £50,No Visits,Female,34
Non-responder,81,2,2 Visits,0,Under £50,No Visits,Female,34
Responder,55,1,1 Visit,1,Under £50,1 Visit,Male,34
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,85,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,62,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,34
Non-responder,63,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,66,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,12,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Female,35
Non-responder,94,2,2 Visits,0,Under £50,No Visits,Female,35
Responder,81,1,1 Visit,1,Under £50,1 Visit,Male,35
Non-responder,85,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,95,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,58,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,82,2,2 Visits,0,Under £50,No Visits,Male,35
Non-responder,84,2,2 Visits,0,Under £50,No Visits,Male,35
Responder,56,1,1 Visit,1,£50-£100,1 Visit,Female,36
Responder,0,0,No Visits,2,Under £50,2 Visits,Female,36
Responder,90,1,1 Visit,1,£50-£100,1 Visit,Female,36
Non-responder,60,2,2 Visits,0,Under £50,No Visits,Female,36
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Female,36
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Female,36
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,36
Non-responder,94,2,2 Visits,0,Under £50,No Visits,Female,36
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Female,36
Responder,74,1,1 Visit,1,Under £50,1 Visit,Male,36
Responder,62,1,1 Visit,1,Under £50,1 Visit,Male,36
Non-responder,66,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,66,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,67,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,36
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Female,37
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,37
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Female,37
Non-responder,28,2,2 Visits,0,Under £50,No Visits,Female,37
Responder,94,1,1 Visit,1,£100-£150,1 Visit,Male,37
Non-responder,50,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,62,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,67,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,85,2,2 Visits,0,Under £50,No Visits,Male,37
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,72,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,50,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,49,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,65,2,2 Visits,0,Under £50,No Visits,Female,38
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,38,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,98,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,77,2,2 Visits,0,Under £50,No Visits,Male,38
Non-responder,50,2,2 Visits,0,Under £50,No Visits,Female,39
Non-responder,85,2,2 Visits,0,Under £50,No Visits,Female,39
Non-responder,92,2,2 Visits,0,Under £50,No Visits,Female,39
Non-responder,81,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,59,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,70,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,92,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,71,2,2 Visits,0,Under £50,No Visits,Male,39
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,40
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Female,40
Responder,86,1,1 Visit,1,Under £50,1 Visit,Male,40
Non-responder,62,2,2 Visits,0,Under £50,No Visits,Male,40
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,40
Non-responder,32,2,2 Visits,0,Under £50,No Visits,Male,40
Non-responder,94,2,2 Visits,0,Under £50,No Visits,Male,40
Non-responder,43,2,2 Visits,0,Under £50,No Visits,Male,40
Responder,67,1,1 Visit,1,Under £50,1 Visit,Female,41
Non-responder,82,2,2 Visits,0,Under £50,No Visits,Female,41
Non-responder,19,2,2 Visits,0,Under £50,No Visits,Female,41
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Female,41
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Female,41
Non-responder,44,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,53,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,65,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,41
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Female,42
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Female,42
Responder,56,1,1 Visit,1,Under £50,1 Visit,Male,42
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Male,42
Non-responder,98,2,2 Visits,0,Under £50,No Visits,Female,43
Non-responder,87,2,2 Visits,0,Under £50,No Visits,Female,43
Responder,89,1,1 Visit,1,Under £50,1 Visit,Male,43
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,27,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,51,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,43
Non-responder,77,2,2 Visits,0,Under £50,No Visits,Female,44
Non-responder,82,2,2 Visits,0,Under £50,No Visits,Male,44
Non-responder,92,2,2 Visits,0,Under £50,No Visits,Male,44
Non-responder,59,2,2 Visits,0,Under £50,No Visits,Male,44
Non-responder,58,2,2 Visits,0,Under £50,No Visits,Male,44
Non-responder,79,2,2 Visits,0,Under £50,No Visits,Female,45
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,45
Non-responder,66,2,2 Visits,0,Under £50,No Visits,Female,45
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Female,45
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Female,45
Non-responder,137,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,76,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,75,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,69,2,2 Visits,0,Under £50,No Visits,Male,45
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,45
Responder,12,1,1 Visit,1,Under £50,1 Visit,Female,46
Non-responder,94,2,2 Visits,0,Under £50,No Visits,Female,46
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Female,46
Non-responder,56,2,2 Visits,0,Under £50,No Visits,Female,46
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Female,46
Responder,96,1,1 Visit,1,Under £50,1 Visit,Male,46
Non-responder,93,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,57,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,31,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,67,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,55,2,2 Visits,0,Under £50,No Visits,Male,46
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Female,47
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Female,47
Non-responder,61,2,2 Visits,0,Under £50,No Visits,Female,47
Non-responder,70,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,63,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,83,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,101,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,62,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,47
Non-responder,20,2,2 Visits,0,Under £50,No Visits,Male,47
Responder,32,1,1 Visit,1,Under £50,1 Visit,Female,48
Non-responder,86,2,2 Visits,0,Under £50,No Visits,Female,48
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Female,48
Non-responder,74,2,2 Visits,0,Under £50,No Visits,Female,48
Responder,19,1,1 Visit,1,Under £50,1 Visit,Male,48
Non-responder,64,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,80,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,75,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,99,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,88,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,73,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,59,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,54,2,2 Visits,0,Under £50,No Visits,Male,48
Non-responder,67,2,2 Visits,0,Under £50,No Visits,Male,48
Responder,81,1,1 Visit,1,Under £50,1 Visit,Female,49
Non-responder,77,2,2 Visits,0,Under £50,No Visits,Female,49
Responder,70,1,1 Visit,1,Under £50,1 Visit,Male,49
Responder,80,1,1 Visit,1,£50-£100,1 Visit,Male,49
Non-responder,19,2,2 Visits,0,Under £50,No Visits,Male,49
Non-responder,68,2,2 Visits,0,Under £50,No Visits,Male,49
Non-responder,78,2,2 Visits,0,Under £50,No Visits,Male,49
Non-responder,52,2,2 Visits,0,Under £50,No Visits,Male,49
Non-responder,67,2,2 Visits,0,Under £50,No Visits,Male,49
